year,codest,codmun,enrolled,daycare_pop,ratio
2004,13,130255,38,1496,0.02540106951871658
2008,13,130255,0,1791,0.0
2012,13,130255,0,2304,0.0
2000,13,130260,3274,134563,0.024330610940600312
2004,13,130260,3234,149866,0.02157927748788918
2008,13,130260,5980,119097,0.05021117240568612
2012,13,130260,8810,134984,0.06526699460676821
2000,13,130270,75,4455,0.016835016835016835
2004,13,130270,0,4463,0.0
2008,13,130270,139,4417,0.031469323069956985
2012,13,130270,232,4408,0.05263157894736842
2000,13,130280,0,2085,0.0
2004,13,130280,84,2344,0.03583617747440273
2008,13,130280,170,1892,0.08985200845665962
2012,13,130280,398,1953,0.20378904249871993
2000,13,130290,0,5147,0.0
2004,13,130290,27,5644,0.00478384124734231
2008,13,130290,23,5199,0.0044239276783996926
2012,13,130290,248,5986,0.0414300033411293
2000,13,130300,0,1740,0.0
2004,13,130300,123,1837,0.06695699510070767
2008,13,130300,167,1802,0.09267480577136515
2012,13,130300,128,1632,0.0784313725490196
2000,13,130310,399,2946,0.1354378818737271
2004,13,130310,302,3488,0.08658256880733944
2008,13,130310,234,3262,0.07173513182096873
2012,13,130310,304,2918,0.1041809458533242
2000,13,130320,0,1067,0.0
2004,13,130320,0,871,0.0
2008,13,130320,123,1399,0.08791994281629735
2012,13,130320,20,1522,0.013140604467805518
2000,13,130330,0,2198,0.0
2004,13,130330,0,2483,0.0
2008,13,130330,235,2075,0.11325301204819277
2012,13,130330,184,1853,0.0992984349703184
2000,13,130340,105,10538,0.009963940026570507
2004,13,130340,1884,12024,0.156686626746507
2008,13,130340,1087,10174,0.10684096717122075
2012,13,130340,1313,9415,0.1394583112055231
2000,13,130350,100,2212,0.045207956600361664
2004,13,130350,100,2216,0.04512635379061372
2008,13,130350,64,2086,0.030680728667305847
2012,13,130350,115,2023,0.056846267918932276
2000,13,130353,132,1976,0.06680161943319839
2004,13,130353,347,2451,0.1415748674010608
2008,13,130353,454,2086,0.21764141898370087
2012,13,130353,554,2476,0.22374798061389337
2000,13,130356,140,1958,0.07150153217568948
2004,13,130356,127,2458,0.051668022782750206
2008,13,130356,140,2326,0.06018916595012898
2012,13,130356,149,2197,0.06781975421028676
2000,13,130360,0,1377,0.0
2004,13,130360,172,1120,0.15357142857142858
2008,13,130360,153,1862,0.08216970998925886
2012,13,130360,124,2656,0.046686746987951805
2000,13,130370,0,3509,0.0
2004,13,130370,0,4063,0.0
2008,13,130370,0,3421,0.0
2012,13,130370,0,2919,0.0
2000,13,130380,11,3618,0.0030403537866224434
2004,13,130380,89,3952,0.022520242914979758
2008,13,130380,140,3729,0.037543577366586214
2012,13,130380,189,4036,0.04682854311199207
2000,13,130390,2,3132,0.0006385696040868455
2004,13,130390,0,3654,0.0
2008,13,130390,0,3623,0.0
2012,13,130390,211,3632,0.058094713656387666
2000,13,130395,0,995,0.0
2004,13,130395,0,1144,0.0
2008,13,130395,88,1012,0.08695652173913043
2012,13,130395,0,1076,0.0
2000,13,130400,52,1001,0.05194805194805195
2004,13,130400,0,1110,0.0
2008,13,130400,72,868,0.08294930875576037
2012,13,130400,57,904,0.06305309734513274
2000,13,130406,16,4878,0.003280032800328003
2004,13,130406,60,5399,0.011113169105389887
2008,13,130406,9,4641,0.0019392372333548805
2012,13,130406,23,5816,0.003954607977991747
2000,13,130410,0,2789,0.0
2004,13,130410,0,2526,0.0
2008,13,130410,202,2385,0.08469601677148847
2012,13,130410,174,1801,0.0966129927817879
2000,13,130420,120,8018,0.014966325767024195
2004,13,130420,175,8546,0.020477416335127546
2008,13,130420,222,6556,0.0338621110433191
2012,13,130420,580,6188,0.09372979961215255
2000,13,130423,0,2193,0.0
